"participant_id","noun_condition","voice","ir_cr","wr_acc_score","ir_rt","wr_rt"
273,"LL","Active",0.604166666666667,0.75,1524,751.25
273,"LL","Passive",0.4375,0.333333333333333,1866.66666666667,367.666666666667
276,"HH","Active",0.541666666666667,0.75,1495,519
276,"HH","Passive",0.708333333333333,0.8,2720.4,824.4
276,"HL","Active",0.375,1,1665,2127.33333333333
276,"HL","Passive",0.541666666666667,0,2433.25,1389.75
276,"LH","Active",0.708333333333333,0.8,1877.6,2149.6
276,"LH","Passive",0.875,1,2093.66666666667,453.8
276,"LL","Active",0.708333333333333,0.4,2001.4,924.6
276,"LL","Passive",0.375,0.666666666666667,2377.33333333333,564.5
277,"HH","Active",0.78125,0.5,1508.16666666667,1032.75
277,"HH","Passive",0.78125,0.833333333333333,1855,299.8
277,"HL","Active",0.614583333333333,0.8,1150.8,318
277,"HL","Passive",0.78125,0.833333333333333,1411.66666666667,300.5
277,"LH","Active",0.78125,0.833333333333333,1499,957.5
277,"LH","Passive",0.78125,0.833333333333333,1932.5,881.2
277,"LL","Active",0.78125,0.833333333333333,1584.16666666667,485.25
277,"LL","Passive",0.78125,0.5,1733.33333333333,522.8
279,"HH","Active",0.895833333333333,1,1722.66666666667,898.8
279,"HH","Passive",0.895833333333333,0.666666666666667,2235.33333333333,1205
279,"HL","Active",0.895833333333333,0.5,1622.5,782.2
279,"HL","Passive",0.895833333333333,0.666666666666667,2066.66666666667,827.2
279,"LH","Active",0.729166666666667,0.8,1841.8,734.666666666667
279,"LH","Passive",0.895833333333333,0.833333333333333,2219,414.666666666667
279,"LL","Active",0.895833333333333,0.666666666666667,1819.5,602.75
279,"LL","Passive",0.5625,0.5,2286,1147
280,"HH","Active",0.916666666666667,1,1790.16666666667,1818.5
280,"HH","Passive",0.916666666666667,1,1641.66666666667,767.333333333333
280,"HL","Active",0.916666666666667,1,1632,948.166666666667
280,"HL","Passive",0.916666666666667,0.833333333333333,2036.16666666667,1575.16666666667
280,"LH","Active",0.916666666666667,0.833333333333333,1553.83333333333,1309.66666666667
280,"LH","Passive",0.916666666666667,1,1454.5,1713.2
280,"LL","Active",0.75,1,1504.4,1144.8
280,"LL","Passive",0.916666666666667,0.833333333333333,1676.66666666667,1987.16666666667
281,"HH","Active",0.28125,0.75,1435.75,354.75
281,"HH","Passive",0.447916666666667,1,2038.2,670.75
281,"HL","Active",0.614583333333333,0.833333333333333,1553.16666666667,368.5
281,"HL","Passive",0.447916666666667,0.4,1508.2,352.6
281,"LH","Active",0.447916666666667,0.8,1628.6,594.8
281,"LH","Passive",0.114583333333333,1,1531,554.333333333333
281,"LL","Active",0.614583333333333,0.333333333333333,1815,348.8
281,"LL","Passive",0.614583333333333,0.833333333333333,1646.16666666667,342
282,"HH","Active",0.75,0.666666666666667,1446.33333333333,1723
282,"HH","Passive",0.75,1,2048.5,1741.5
282,"HL","Active",0.75,0.666666666666667,1498.16666666667,623
282,"HL","Passive",0.583333333333333,1,1917.4,3163
282,"LH","Active",0.583333333333333,0.6,1498.8,1734.5
282,"LH","Passive",0.75,0.666666666666667,1593.16666666667,663.5
282,"LL","Active",0.416666666666667,0.75,1378,1549
282,"LL","Passive",0.75,0.833333333333333,1743.83333333333,1254.66666666667
283,"HH","Active",0.604166666666667,0.5,1675.75,2000.75
283,"HH","Passive",0.4375,0.666666666666667,1779,3664
283,"HL","Active",0.4375,0.666666666666667,1928.66666666667,3167
283,"HL","Passive",0.4375,0.333333333333333,1852.33333333333,737
283,"LH","Active",0.604166666666667,0.75,1863.75,1267.25
283,"LH","Passive",0.4375,0.666666666666667,2123,1304
283,"LL","Active",0.4375,0.333333333333333,1926,932.666666666667
283,"LL","Passive",0.4375,1,1375,864.666666666667
285,"HH","Active",0.770833333333333,1,1313.2,589
285,"HH","Passive",0.9375,0.5,1494.83333333333,839.5
285,"HL","Active",0.9375,0.833333333333333,1326.66666666667,517.666666666667
285,"HL","Passive",0.9375,0.833333333333333,1704.33333333333,728.333333333333
285,"LH","Active",0.9375,0.833333333333333,1203,400
285,"LH","Passive",0.9375,1,1393.5,437.333333333333
285,"LL","Active",0.9375,0.833333333333333,1427.16666666667,622.8
285,"LL","Passive",0.770833333333333,1,1311,526.666666666667
286,"HH","Active",0.375,0.666666666666667,1798.33333333333,741.666666666667
286,"HH","Passive",0.375,0.333333333333333,1716.66666666667,591.5
286,"HL","Active",0.708333333333333,1,1559.75,656.2
286,"HL","Passive",0.208333333333333,1,1583,868.5
286,"LH","Active",0.708333333333333,0.8,1281.4,878.4
286,"LH","Passive",0.375,0.666666666666667,1462,532
286,"LL","Active",0.375,0.666666666666667,1694.33333333333,1273.66666666667
286,"LL","Passive",0.541666666666667,1,2105.75,868.5
289,"HH","Active",0.40625,0.666666666666667,2097,455.666666666667
289,"HH","Passive",0.739583333333333,1,2096.8,580.6
289,"HL","Active",0.90625,0.5,1592.83333333333,646.166666666667
289,"HL","Passive",0.572916666666667,1,1851.5,451
289,"LH","Active",0.90625,0.5,2099.5,490.2
289,"LH","Passive",0.90625,0.666666666666667,1977.83333333333,811
289,"LL","Active",0.90625,0.833333333333333,1979,886.333333333333
289,"LL","Passive",0.739583333333333,0.6,2145.6,873.5
290,"HH","Active",0.90625,0.833333333333333,1657.83333333333,1878.5
